시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
0,11170510,455,서울,용산구,후암동,2019,1
0,11170520,470,서울,용산구,용산2가동,2019,1
0,11170530,856,서울,용산구,남영동,2019,1
0,11170555,622,서울,용산구,청파동,2019,1
0,11170560,606,서울,용산구,원효로1동,2019,1
0,11170570,459,서울,용산구,원효로2동,2019,1
0,11170580,477,서울,용산구,효창동,2019,1
0,11170590,546,서울,용산구,용문동,2019,1
0,11170625,1012,서울,용산구,한강로동,2019,1
0,11170630,537,서울,용산구,이촌1동,2019,1
0,11170640,388,서울,용산구,이촌2동,2019,1
0,11170650,1914,서울,용산구,이태원1동,2019,1
0,11170660,725,서울,용산구,이태원2동,2019,1
0,11170685,831,서울,용산구,한남동,2019,1
0,11170690,616,서울,용산구,서빙고동,2019,1
0,11170700,433,서울,용산구,보광동,2019,1
1,11170510,457,서울,용산구,후암동,2019,1
1,11170520,465,서울,용산구,용산2가동,2019,1
1,11170530,771,서울,용산구,남영동,2019,1
1,11170555,601,서울,용산구,청파동,2019,1
1,11170560,597,서울,용산구,원효로1동,2019,1
1,11170570,452,서울,용산구,원효로2동,2019,1
1,11170580,487,서울,용산구,효창동,2019,1
1,11170590,552,서울,용산구,용문동,2019,1
1,11170625,978,서울,용산구,한강로동,2019,1
1,11170630,522,서울,용산구,이촌1동,2019,1
1,11170640,391,서울,용산구,이촌2동,2019,1
1,11170650,1885,서울,용산구,이태원1동,2019,1
1,11170660,713,서울,용산구,이태원2동,2019,1
1,11170685,819,서울,용산구,한남동,2019,1
1,11170690,622,서울,용산구,서빙고동,2019,1
1,11170700,435,서울,용산구,보광동,2019,1
2,11170510,459,서울,용산구,후암동,2019,1
2,11170520,465,서울,용산구,용산2가동,2019,1
2,11170530,759,서울,용산구,남영동,2019,1
2,11170555,604,서울,용산구,청파동,2019,1
2,11170560,602,서울,용산구,원효로1동,2019,1
2,11170570,455,서울,용산구,원효로2동,2019,1
2,11170580,491,서울,용산구,효창동,2019,1
