,Unnamed: 0,시간대구분,행정동코드,총생활인구수,시도명,시군구명,행정동명,년,월
0,0,0,11170510,477,서울,용산구,후암동,2017,1
1,1,0,11170520,472,서울,용산구,용산2가동,2017,1
2,2,0,11170530,986,서울,용산구,남영동,2017,1
3,3,0,11170555,638,서울,용산구,청파동,2017,1
4,4,0,11170560,516,서울,용산구,원효로1동,2017,1
5,5,0,11170570,494,서울,용산구,원효로2동,2017,1
6,6,0,11170580,522,서울,용산구,효창동,2017,1
7,7,0,11170590,558,서울,용산구,용문동,2017,1
8,8,0,11170625,918,서울,용산구,한강로동,2017,1
9,9,0,11170630,507,서울,용산구,이촌1동,2017,1
10,10,0,11170640,546,서울,용산구,이촌2동,2017,1
11,11,0,11170650,1930,서울,용산구,이태원1동,2017,1
12,12,0,11170660,694,서울,용산구,이태원2동,2017,1
13,13,0,11170685,687,서울,용산구,한남동,2017,1
14,14,0,11170690,622,서울,용산구,서빙고동,2017,1
15,15,0,11170700,430,서울,용산구,보광동,2017,1
16,16,1,11170510,479,서울,용산구,후암동,2017,1
17,17,1,11170520,457,서울,용산구,용산2가동,2017,1
18,18,1,11170530,859,서울,용산구,남영동,2017,1
19,19,1,11170555,599,서울,용산구,청파동,2017,1
20,20,1,11170560,523,서울,용산구,원효로1동,2017,1
21,21,1,11170570,500,서울,용산구,원효로2동,2017,1
22,22,1,11170580,531,서울,용산구,효창동,2017,1
23,23,1,11170590,567,서울,용산구,용문동,2017,1
24,24,1,11170625,895,서울,용산구,한강로동,2017,1
25,25,1,11170630,493,서울,용산구,이촌1동,2017,1
26,26,1,11170640,540,서울,용산구,이촌2동,2017,1
27,27,1,11170650,1876,서울,용산구,이태원1동,2017,1
28,28,1,11170660,685,서울,용산구,이태원2동,2017,1
29,29,1,11170685,669,서울,용산구,한남동,2017,1
30,30,1,11170690,624,서울,용산구,서빙고동,2017,1
31,31,1,11170700,433,서울,용산구,보광동,2017,1
32,32,2,11170510,481,서울,용산구,후암동,2017,1
33,33,2,11170520,455,서울,용산구,용산2가동,2017,1
34,34,2,11170530,818,서울,용산구,남영동,2017,1
35,35,2,11170555,598,서울,용산구,청파동,2017,1
36,36,2,11170560,521,서울,용산구,원효로1동,2017,1
37,37,2,11170570,497,서울,용산구,원효로2동,2017,1
38,38,2,11170580,530,서울,용산구,효창동,2017,1
39,39,2,11170590,574,서울,용산구,용문동,2017,1
40,40,2,11170625,888,서울,용산구,한강로동,2017,1
41,41,2,11170630,488,서울,용산구,이촌1동,2017,1
42,42,2,11170640,531,서울,용산구,이촌2동,2017,1
43,43,2,11170650,1780,서울,용산구,이태원1동,2017,1
44,44,2,11170660,671,서울,용산구,이태원2동,2017,1
45,45,2,11170685,654,서울,용산구,한남동,2017,1
46,46,2,11170690,620,서울,용산구,서빙고동,2017,1
47,47,2,11170700,432,서울,용산구,보광동,2017,1
48,48,3,11170510,482,서울,용산구,후암동,2017,1
49,49,3,11170520,453,서울,용산구,용산2가동,2017,1
50,50,3,11170530,811,서울,용산구,남영동,2017,1
51,51,3,11170555,597,서울,용산구,청파동,2017,1
52,52,3,11170560,522,서울,용산구,원효로1동,2017,1
53,53,3,11170570,496,서울,용산구,원효로2동,2017,1
54,54,3,11170580,530,서울,용산구,효창동,2017,1
55,55,3,11170590,574,서울,용산구,용문동,2017,1
56,56,3,11170625,887,서울,용산구,한강로동,2017,1
57,57,3,11170630,487,서울,용산구,이촌1동,2017,1
58,58,3,11170640,529,서울,용산구,이촌2동,2017,1
59,59,3,11170650,1641,서울,용산구,이태원1동,2017,1
60,60,3,11170660,674,서울,용산구,이태원2동,2017,1
61,61,3,11170685,645,서울,용산구,한남동,2017,1
62,62,3,11170690,619,서울,용산구,서빙고동,2017,1
63,63,3,11170700,431,서울,용산구,보광동,2017,1
64,64,4,11170510,482,서울,용산구,후암동,2017,1
65,65,4,11170520,464,서울,용산구,용산2가동,2017,1
66,66,4,11170530,840,서울,용산구,남영동,2017,1
67,67,4,11170555,601,서울,용산구,청파동,2017,1
68,68,4,11170560,522,서울,용산구,원효로1동,2017,1
69,69,4,11170570,500,서울,용산구,원효로2동,2017,1
70,70,4,11170580,533,서울,용산구,효창동,2017,1
71,71,4,11170590,570,서울,용산구,용문동,2017,1
72,72,4,11170625,891,서울,용산구,한강로동,2017,1
73,73,4,11170630,488,서울,용산구,이촌1동,2017,1
74,74,4,11170640,524,서울,용산구,이촌2동,2017,1
75,75,4,11170650,1475,서울,용산구,이태원1동,2017,1
76,76,4,11170660,672,서울,용산구,이태원2동,2017,1
77,77,4,11170685,642,서울,용산구,한남동,2017,1
78,78,4,11170690,622,서울,용산구,서빙고동,2017,1
79,79,4,11170700,435,서울,용산구,보광동,2017,1
80,80,5,11170510,482,서울,용산구,후암동,2017,1
81,81,5,11170520,470,서울,용산구,용산2가동,2017,1
82,82,5,11170530,907,서울,용산구,남영동,2017,1
83,83,5,11170555,603,서울,용산구,청파동,2017,1
84,84,5,11170560,520,서울,용산구,원효로1동,2017,1
85,85,5,11170570,497,서울,용산구,원효로2동,2017,1
86,86,5,11170580,543,서울,용산구,효창동,2017,1
87,87,5,11170590,564,서울,용산구,용문동,2017,1
88,88,5,11170625,908,서울,용산구,한강로동,2017,1
89,89,5,11170630,502,서울,용산구,이촌1동,2017,1
90,90,5,11170640,538,서울,용산구,이촌2동,2017,1
91,91,5,11170650,1327,서울,용산구,이태원1동,2017,1
92,92,5,11170660,673,서울,용산구,이태원2동,2017,1
93,93,5,11170685,648,서울,용산구,한남동,2017,1
94,94,5,11170690,652,서울,용산구,서빙고동,2017,1
95,95,5,11170700,431,서울,용산구,보광동,2017,1
96,96,6,11170510,492,서울,용산구,후암동,2017,1
97,97,6,11170520,472,서울,용산구,용산2가동,2017,1
98,98,6,11170530,992,서울,용산구,남영동,2017,1
99,99,6,11170555,614,서울,용산구,청파동,2017,1
100,100,6,11170560,516,서울,용산구,원효로1동,2017,1
101,101,6,11170570,496,서울,용산구,원효로2동,2017,1
102,102,6,11170580,556,서울,용산구,효창동,2017,1
103,103,6,11170590,552,서울,용산구,용문동,2017,1
104,104,6,11170625,1012,서울,용산구,한강로동,2017,1
105,105,6,11170630,525,서울,용산구,이촌1동,2017,1
106,106,6,11170640,552,서울,용산구,이촌2동,2017,1
107,107,6,11170650,1177,서울,용산구,이태원1동,2017,1
108,108,6,11170660,697,서울,용산구,이태원2동,2017,1
109,109,6,11170685,667,서울,용산구,한남동,2017,1
110,110,6,11170690,706,서울,용산구,서빙고동,2017,1
111,111,6,11170700,421,서울,용산구,보광동,2017,1
112,112,7,11170510,469,서울,용산구,후암동,2017,1
113,113,7,11170520,502,서울,용산구,용산2가동,2017,1
114,114,7,11170530,1287,서울,용산구,남영동,2017,1
115,115,7,11170555,646,서울,용산구,청파동,2017,1
116,116,7,11170560,508,서울,용산구,원효로1동,2017,1
117,117,7,11170570,495,서울,용산구,원효로2동,2017,1
118,118,7,11170580,571,서울,용산구,효창동,2017,1
119,119,7,11170590,515,서울,용산구,용문동,2017,1
120,120,7,11170625,1193,서울,용산구,한강로동,2017,1
121,121,7,11170630,555,서울,용산구,이촌1동,2017,1
122,122,7,11170640,570,서울,용산구,이촌2동,2017,1
123,123,7,11170650,1161,서울,용산구,이태원1동,2017,1
124,124,7,11170660,703,서울,용산구,이태원2동,2017,1
125,125,7,11170685,709,서울,용산구,한남동,2017,1
126,126,7,11170690,799,서울,용산구,서빙고동,2017,1
127,127,7,11170700,403,서울,용산구,보광동,2017,1
128,128,8,11170510,464,서울,용산구,후암동,2017,1
129,129,8,11170520,478,서울,용산구,용산2가동,2017,1
130,130,8,11170530,1676,서울,용산구,남영동,2017,1
131,131,8,11170555,673,서울,용산구,청파동,2017,1
132,132,8,11170560,542,서울,용산구,원효로1동,2017,1
133,133,8,11170570,490,서울,용산구,원효로2동,2017,1
134,134,8,11170580,592,서울,용산구,효창동,2017,1
135,135,8,11170590,484,서울,용산구,용문동,2017,1
136,136,8,11170625,1385,서울,용산구,한강로동,2017,1
137,137,8,11170630,549,서울,용산구,이촌1동,2017,1
138,138,8,11170640,528,서울,용산구,이촌2동,2017,1
139,139,8,11170650,1168,서울,용산구,이태원1동,2017,1
140,140,8,11170660,658,서울,용산구,이태원2동,2017,1
141,141,8,11170685,746,서울,용산구,한남동,2017,1
142,142,8,11170690,856,서울,용산구,서빙고동,2017,1
143,143,8,11170700,371,서울,용산구,보광동,2017,1
144,144,9,11170510,437,서울,용산구,후암동,2017,1
145,145,9,11170520,468,서울,용산구,용산2가동,2017,1
146,146,9,11170530,1844,서울,용산구,남영동,2017,1
147,147,9,11170555,696,서울,용산구,청파동,2017,1
148,148,9,11170560,564,서울,용산구,원효로1동,2017,1
149,149,9,11170570,478,서울,용산구,원효로2동,2017,1
150,150,9,11170580,588,서울,용산구,효창동,2017,1
151,151,9,11170590,467,서울,용산구,용문동,2017,1
152,152,9,11170625,1574,서울,용산구,한강로동,2017,1
153,153,9,11170630,547,서울,용산구,이촌1동,2017,1
154,154,9,11170640,503,서울,용산구,이촌2동,2017,1
155,155,9,11170650,1200,서울,용산구,이태원1동,2017,1
156,156,9,11170660,625,서울,용산구,이태원2동,2017,1
157,157,9,11170685,786,서울,용산구,한남동,2017,1
158,158,9,11170690,889,서울,용산구,서빙고동,2017,1
159,159,9,11170700,356,서울,용산구,보광동,2017,1
160,160,10,11170510,428,서울,용산구,후암동,2017,1
161,161,10,11170520,477,서울,용산구,용산2가동,2017,1
162,162,10,11170530,2012,서울,용산구,남영동,2017,1
163,163,10,11170555,734,서울,용산구,청파동,2017,1
164,164,10,11170560,572,서울,용산구,원효로1동,2017,1
165,165,10,11170570,482,서울,용산구,원효로2동,2017,1
166,166,10,11170580,581,서울,용산구,효창동,2017,1
167,167,10,11170590,445,서울,용산구,용문동,2017,1
168,168,10,11170625,1691,서울,용산구,한강로동,2017,1
169,169,10,11170630,533,서울,용산구,이촌1동,2017,1
170,170,10,11170640,489,서울,용산구,이촌2동,2017,1
171,171,10,11170650,1238,서울,용산구,이태원1동,2017,1
172,172,10,11170660,615,서울,용산구,이태원2동,2017,1
173,173,10,11170685,791,서울,용산구,한남동,2017,1
174,174,10,11170690,909,서울,용산구,서빙고동,2017,1
175,175,10,11170700,344,서울,용산구,보광동,2017,1
176,176,11,11170510,423,서울,용산구,후암동,2017,1
177,177,11,11170520,488,서울,용산구,용산2가동,2017,1
178,178,11,11170530,2180,서울,용산구,남영동,2017,1
179,179,11,11170555,762,서울,용산구,청파동,2017,1
180,180,11,11170560,584,서울,용산구,원효로1동,2017,1
181,181,11,11170570,466,서울,용산구,원효로2동,2017,1
182,182,11,11170580,576,서울,용산구,효창동,2017,1
183,183,11,11170590,432,서울,용산구,용문동,2017,1
184,184,11,11170625,1844,서울,용산구,한강로동,2017,1
185,185,11,11170630,535,서울,용산구,이촌1동,2017,1
186,186,11,11170640,485,서울,용산구,이촌2동,2017,1
187,187,11,11170650,1287,서울,용산구,이태원1동,2017,1
188,188,11,11170660,601,서울,용산구,이태원2동,2017,1
189,189,11,11170685,801,서울,용산구,한남동,2017,1
190,190,11,11170690,928,서울,용산구,서빙고동,2017,1
191,191,11,11170700,333,서울,용산구,보광동,2017,1
192,192,12,11170510,413,서울,용산구,후암동,2017,1
193,193,12,11170520,492,서울,용산구,용산2가동,2017,1
194,194,12,11170530,2248,서울,용산구,남영동,2017,1
195,195,12,11170555,748,서울,용산구,청파동,2017,1
196,196,12,11170560,567,서울,용산구,원효로1동,2017,1
197,197,12,11170570,476,서울,용산구,원효로2동,2017,1
198,198,12,11170580,578,서울,용산구,효창동,2017,1
199,199,12,11170590,427,서울,용산구,용문동,2017,1
200,200,12,11170625,1945,서울,용산구,한강로동,2017,1
201,201,12,11170630,514,서울,용산구,이촌1동,2017,1
202,202,12,11170640,448,서울,용산구,이촌2동,2017,1
203,203,12,11170650,1361,서울,용산구,이태원1동,2017,1
204,204,12,11170660,604,서울,용산구,이태원2동,2017,1
205,205,12,11170685,832,서울,용산구,한남동,2017,1
206,206,12,11170690,930,서울,용산구,서빙고동,2017,1
207,207,12,11170700,327,서울,용산구,보광동,2017,1
208,208,13,11170510,397,서울,용산구,후암동,2017,1
209,209,13,11170520,492,서울,용산구,용산2가동,2017,1
210,210,13,11170530,2198,서울,용산구,남영동,2017,1
211,211,13,11170555,741,서울,용산구,청파동,2017,1
212,212,13,11170560,573,서울,용산구,원효로1동,2017,1
213,213,13,11170570,473,서울,용산구,원효로2동,2017,1
214,214,13,11170580,573,서울,용산구,효창동,2017,1
215,215,13,11170590,404,서울,용산구,용문동,2017,1
216,216,13,11170625,2023,서울,용산구,한강로동,2017,1
217,217,13,11170630,498,서울,용산구,이촌1동,2017,1
218,218,13,11170640,442,서울,용산구,이촌2동,2017,1
219,219,13,11170650,1446,서울,용산구,이태원1동,2017,1
220,220,13,11170660,598,서울,용산구,이태원2동,2017,1
221,221,13,11170685,872,서울,용산구,한남동,2017,1
222,222,13,11170690,959,서울,용산구,서빙고동,2017,1
223,223,13,11170700,313,서울,용산구,보광동,2017,1
224,224,14,11170510,392,서울,용산구,후암동,2017,1
225,225,14,11170520,490,서울,용산구,용산2가동,2017,1
226,226,14,11170530,2224,서울,용산구,남영동,2017,1
227,227,14,11170555,734,서울,용산구,청파동,2017,1
228,228,14,11170560,571,서울,용산구,원효로1동,2017,1
229,229,14,11170570,462,서울,용산구,원효로2동,2017,1
230,230,14,11170580,565,서울,용산구,효창동,2017,1
231,231,14,11170590,411,서울,용산구,용문동,2017,1
232,232,14,11170625,2064,서울,용산구,한강로동,2017,1
233,233,14,11170630,494,서울,용산구,이촌1동,2017,1
234,234,14,11170640,441,서울,용산구,이촌2동,2017,1
235,235,14,11170650,1512,서울,용산구,이태원1동,2017,1
236,236,14,11170660,593,서울,용산구,이태원2동,2017,1
237,237,14,11170685,893,서울,용산구,한남동,2017,1
238,238,14,11170690,981,서울,용산구,서빙고동,2017,1
239,239,14,11170700,308,서울,용산구,보광동,2017,1
240,240,15,11170510,386,서울,용산구,후암동,2017,1
241,241,15,11170520,489,서울,용산구,용산2가동,2017,1
242,242,15,11170530,2240,서울,용산구,남영동,2017,1
243,243,15,11170555,740,서울,용산구,청파동,2017,1
244,244,15,11170560,565,서울,용산구,원효로1동,2017,1
245,245,15,11170570,468,서울,용산구,원효로2동,2017,1
246,246,15,11170580,569,서울,용산구,효창동,2017,1
247,247,15,11170590,418,서울,용산구,용문동,2017,1
248,248,15,11170625,2140,서울,용산구,한강로동,2017,1
249,249,15,11170630,502,서울,용산구,이촌1동,2017,1
250,250,15,11170640,466,서울,용산구,이촌2동,2017,1
251,251,15,11170650,1513,서울,용산구,이태원1동,2017,1
252,252,15,11170660,591,서울,용산구,이태원2동,2017,1
253,253,15,11170685,883,서울,용산구,한남동,2017,1
254,254,15,11170690,921,서울,용산구,서빙고동,2017,1
255,255,15,11170700,305,서울,용산구,보광동,2017,1
256,256,16,11170510,385,서울,용산구,후암동,2017,1
257,257,16,11170520,492,서울,용산구,용산2가동,2017,1
258,258,16,11170530,2232,서울,용산구,남영동,2017,1
259,259,16,11170555,727,서울,용산구,청파동,2017,1
260,260,16,11170560,559,서울,용산구,원효로1동,2017,1
261,261,16,11170570,455,서울,용산구,원효로2동,2017,1
262,262,16,11170580,565,서울,용산구,효창동,2017,1
263,263,16,11170590,419,서울,용산구,용문동,2017,1
264,264,16,11170625,2046,서울,용산구,한강로동,2017,1
265,265,16,11170630,504,서울,용산구,이촌1동,2017,1
266,266,16,11170640,443,서울,용산구,이촌2동,2017,1
267,267,16,11170650,1545,서울,용산구,이태원1동,2017,1
268,268,16,11170660,600,서울,용산구,이태원2동,2017,1
269,269,16,11170685,879,서울,용산구,한남동,2017,1
270,270,16,11170690,902,서울,용산구,서빙고동,2017,1
271,271,16,11170700,306,서울,용산구,보광동,2017,1
272,272,17,11170510,393,서울,용산구,후암동,2017,1
273,273,17,11170520,493,서울,용산구,용산2가동,2017,1
274,274,17,11170530,2145,서울,용산구,남영동,2017,1
275,275,17,11170555,716,서울,용산구,청파동,2017,1
276,276,17,11170560,557,서울,용산구,원효로1동,2017,1
277,277,17,11170570,445,서울,용산구,원효로2동,2017,1
278,278,17,11170580,556,서울,용산구,효창동,2017,1
279,279,17,11170590,427,서울,용산구,용문동,2017,1
280,280,17,11170625,1997,서울,용산구,한강로동,2017,1
281,281,17,11170630,489,서울,용산구,이촌1동,2017,1
282,282,17,11170640,448,서울,용산구,이촌2동,2017,1
283,283,17,11170650,1583,서울,용산구,이태원1동,2017,1
284,284,17,11170660,584,서울,용산구,이태원2동,2017,1
285,285,17,11170685,843,서울,용산구,한남동,2017,1
286,286,17,11170690,871,서울,용산구,서빙고동,2017,1
287,287,17,11170700,307,서울,용산구,보광동,2017,1
288,288,18,11170510,391,서울,용산구,후암동,2017,1
289,289,18,11170520,494,서울,용산구,용산2가동,2017,1
290,290,18,11170530,2087,서울,용산구,남영동,2017,1
291,291,18,11170555,690,서울,용산구,청파동,2017,1
292,292,18,11170560,527,서울,용산구,원효로1동,2017,1
293,293,18,11170570,433,서울,용산구,원효로2동,2017,1
294,294,18,11170580,572,서울,용산구,효창동,2017,1
295,295,18,11170590,441,서울,용산구,용문동,2017,1
296,296,18,11170625,1849,서울,용산구,한강로동,2017,1
297,297,18,11170630,503,서울,용산구,이촌1동,2017,1
298,298,18,11170640,439,서울,용산구,이촌2동,2017,1
299,299,18,11170650,1613,서울,용산구,이태원1동,2017,1
300,300,18,11170660,587,서울,용산구,이태원2동,2017,1
301,301,18,11170685,822,서울,용산구,한남동,2017,1
302,302,18,11170690,872,서울,용산구,서빙고동,2017,1
303,303,18,11170700,311,서울,용산구,보광동,2017,1
304,304,19,11170510,406,서울,용산구,후암동,2017,1
305,305,19,11170520,493,서울,용산구,용산2가동,2017,1
306,306,19,11170530,1825,서울,용산구,남영동,2017,1
307,307,19,11170555,690,서울,용산구,청파동,2017,1
308,308,19,11170560,514,서울,용산구,원효로1동,2017,1
309,309,19,11170570,423,서울,용산구,원효로2동,2017,1
310,310,19,11170580,576,서울,용산구,효창동,2017,1
311,311,19,11170590,468,서울,용산구,용문동,2017,1
312,312,19,11170625,1659,서울,용산구,한강로동,2017,1
313,313,19,11170630,498,서울,용산구,이촌1동,2017,1
314,314,19,11170640,455,서울,용산구,이촌2동,2017,1
315,315,19,11170650,1614,서울,용산구,이태원1동,2017,1
316,316,19,11170660,600,서울,용산구,이태원2동,2017,1
317,317,19,11170685,786,서울,용산구,한남동,2017,1
318,318,19,11170690,827,서울,용산구,서빙고동,2017,1
319,319,19,11170700,318,서울,용산구,보광동,2017,1
320,320,20,11170510,418,서울,용산구,후암동,2017,1
321,321,20,11170520,498,서울,용산구,용산2가동,2017,1
322,322,20,11170530,1661,서울,용산구,남영동,2017,1
323,323,20,11170555,686,서울,용산구,청파동,2017,1
324,324,20,11170560,512,서울,용산구,원효로1동,2017,1
325,325,20,11170570,425,서울,용산구,원효로2동,2017,1
326,326,20,11170580,578,서울,용산구,효창동,2017,1
327,327,20,11170590,483,서울,용산구,용문동,2017,1
328,328,20,11170625,1485,서울,용산구,한강로동,2017,1
329,329,20,11170630,516,서울,용산구,이촌1동,2017,1
330,330,20,11170640,493,서울,용산구,이촌2동,2017,1
331,331,20,11170650,1550,서울,용산구,이태원1동,2017,1
332,332,20,11170660,600,서울,용산구,이태원2동,2017,1
333,333,20,11170685,763,서울,용산구,한남동,2017,1
334,334,20,11170690,800,서울,용산구,서빙고동,2017,1
335,335,20,11170700,327,서울,용산구,보광동,2017,1
336,336,21,11170510,432,서울,용산구,후암동,2017,1
337,337,21,11170520,495,서울,용산구,용산2가동,2017,1
338,338,21,11170530,1549,서울,용산구,남영동,2017,1
339,339,21,11170555,662,서울,용산구,청파동,2017,1
340,340,21,11170560,520,서울,용산구,원효로1동,2017,1
341,341,21,11170570,434,서울,용산구,원효로2동,2017,1
342,342,21,11170580,594,서울,용산구,효창동,2017,1
343,343,21,11170590,503,서울,용산구,용문동,2017,1
344,344,21,11170625,1329,서울,용산구,한강로동,2017,1
345,345,21,11170630,524,서울,용산구,이촌1동,2017,1
346,346,21,11170640,502,서울,용산구,이촌2동,2017,1
347,347,21,11170650,1481,서울,용산구,이태원1동,2017,1
348,348,21,11170660,600,서울,용산구,이태원2동,2017,1
349,349,21,11170685,726,서울,용산구,한남동,2017,1
350,350,21,11170690,771,서울,용산구,서빙고동,2017,1
351,351,21,11170700,342,서울,용산구,보광동,2017,1
352,352,22,11170510,451,서울,용산구,후암동,2017,1
353,353,22,11170520,492,서울,용산구,용산2가동,2017,1
354,354,22,11170530,1367,서울,용산구,남영동,2017,1
355,355,22,11170555,645,서울,용산구,청파동,2017,1
356,356,22,11170560,527,서울,용산구,원효로1동,2017,1
357,357,22,11170570,439,서울,용산구,원효로2동,2017,1
358,358,22,11170580,595,서울,용산구,효창동,2017,1
359,359,22,11170590,540,서울,용산구,용문동,2017,1
360,360,22,11170625,1197,서울,용산구,한강로동,2017,1
361,361,22,11170630,522,서울,용산구,이촌1동,2017,1
362,362,22,11170640,521,서울,용산구,이촌2동,2017,1
363,363,22,11170650,1381,서울,용산구,이태원1동,2017,1
364,364,22,11170660,609,서울,용산구,이태원2동,2017,1
365,365,22,11170685,685,서울,용산구,한남동,2017,1
366,366,22,11170690,739,서울,용산구,서빙고동,2017,1
367,367,22,11170700,356,서울,용산구,보광동,2017,1
368,368,23,11170510,481,서울,용산구,후암동,2017,1
369,369,23,11170520,478,서울,용산구,용산2가동,2017,1
370,370,23,11170530,939,서울,용산구,남영동,2017,1
371,371,23,11170555,626,서울,용산구,청파동,2017,1
372,372,23,11170560,555,서울,용산구,원효로1동,2017,1
373,373,23,11170570,526,서울,용산구,원효로2동,2017,1
374,374,23,11170580,552,서울,용산구,효창동,2017,1
375,375,23,11170590,569,서울,용산구,용문동,2017,1
376,376,23,11170625,926,서울,용산구,한강로동,2017,1
377,377,23,11170630,510,서울,용산구,이촌1동,2017,1
378,378,23,11170640,553,서울,용산구,이촌2동,2017,1
379,379,23,11170650,1016,서울,용산구,이태원1동,2017,1
380,380,23,11170660,648,서울,용산구,이태원2동,2017,1
381,381,23,11170685,630,서울,용산구,한남동,2017,1
382,382,23,11170690,601,서울,용산구,서빙고동,2017,1
383,383,23,11170700,440,서울,용산구,보광동,2017,1
384,384,0,11170510,483,서울,용산구,후암동,2017,2
385,385,0,11170520,470,서울,용산구,용산2가동,2017,2
386,386,0,11170530,880,서울,용산구,남영동,2017,2
387,387,0,11170555,602,서울,용산구,청파동,2017,2
388,388,0,11170560,606,서울,용산구,원효로1동,2017,2
389,389,0,11170570,509,서울,용산구,원효로2동,2017,2
390,390,0,11170580,539,서울,용산구,효창동,2017,2
391,391,0,11170590,586,서울,용산구,용문동,2017,2
392,392,0,11170625,912,서울,용산구,한강로동,2017,2
393,393,0,11170630,501,서울,용산구,이촌1동,2017,2
394,394,0,11170640,534,서울,용산구,이촌2동,2017,2
395,395,0,11170650,977,서울,용산구,이태원1동,2017,2
396,396,0,11170660,640,서울,용산구,이태원2동,2017,2
397,397,0,11170685,627,서울,용산구,한남동,2017,2
398,398,0,11170690,596,서울,용산구,서빙고동,2017,2
399,399,0,11170700,441,서울,용산구,보광동,2017,2
400,400,1,11170510,493,서울,용산구,후암동,2017,2
401,401,1,11170520,474,서울,용산구,용산2가동,2017,2
402,402,1,11170530,837,서울,용산구,남영동,2017,2
403,403,1,11170555,610,서울,용산구,청파동,2017,2
404,404,1,11170560,610,서울,용산구,원효로1동,2017,2
405,405,1,11170570,506,서울,용산구,원효로2동,2017,2
406,406,1,11170580,534,서울,용산구,효창동,2017,2
407,407,1,11170590,600,서울,용산구,용문동,2017,2
408,408,1,11170625,891,서울,용산구,한강로동,2017,2
409,409,1,11170630,499,서울,용산구,이촌1동,2017,2
410,410,1,11170640,532,서울,용산구,이촌2동,2017,2
411,411,1,11170650,936,서울,용산구,이태원1동,2017,2
412,412,1,11170660,638,서울,용산구,이태원2동,2017,2
413,413,1,11170685,618,서울,용산구,한남동,2017,2
414,414,1,11170690,600,서울,용산구,서빙고동,2017,2
415,415,1,11170700,442,서울,용산구,보광동,2017,2
416,416,2,11170510,491,서울,용산구,후암동,2017,2
417,417,2,11170520,474,서울,용산구,용산2가동,2017,2
418,418,2,11170530,833,서울,용산구,남영동,2017,2
419,419,2,11170555,610,서울,용산구,청파동,2017,2
420,420,2,11170560,593,서울,용산구,원효로1동,2017,2
421,421,2,11170570,509,서울,용산구,원효로2동,2017,2
422,422,2,11170580,536,서울,용산구,효창동,2017,2
423,423,2,11170590,602,서울,용산구,용문동,2017,2
424,424,2,11170625,884,서울,용산구,한강로동,2017,2
425,425,2,11170630,497,서울,용산구,이촌1동,2017,2
426,426,2,11170640,529,서울,용산구,이촌2동,2017,2
427,427,2,11170650,920,서울,용산구,이태원1동,2017,2
428,428,2,11170660,644,서울,용산구,이태원2동,2017,2
429,429,2,11170685,612,서울,용산구,한남동,2017,2
430,430,2,11170690,602,서울,용산구,서빙고동,2017,2
431,431,2,11170700,444,서울,용산구,보광동,2017,2
432,432,3,11170510,495,서울,용산구,후암동,2017,2
433,433,3,11170520,470,서울,용산구,용산2가동,2017,2
434,434,3,11170530,838,서울,용산구,남영동,2017,2
435,435,3,11170555,614,서울,용산구,청파동,2017,2
436,436,3,11170560,592,서울,용산구,원효로1동,2017,2
437,437,3,11170570,509,서울,용산구,원효로2동,2017,2
438,438,3,11170580,541,서울,용산구,효창동,2017,2
439,439,3,11170590,603,서울,용산구,용문동,2017,2
440,440,3,11170625,880,서울,용산구,한강로동,2017,2
441,441,3,11170630,496,서울,용산구,이촌1동,2017,2
442,442,3,11170640,530,서울,용산구,이촌2동,2017,2
443,443,3,11170650,891,서울,용산구,이태원1동,2017,2
444,444,3,11170660,647,서울,용산구,이태원2동,2017,2
445,445,3,11170685,613,서울,용산구,한남동,2017,2
446,446,3,11170690,606,서울,용산구,서빙고동,2017,2
447,447,3,11170700,448,서울,용산구,보광동,2017,2
448,448,4,11170510,494,서울,용산구,후암동,2017,2
449,449,4,11170520,473,서울,용산구,용산2가동,2017,2
450,450,4,11170530,868,서울,용산구,남영동,2017,2
451,451,4,11170555,615,서울,용산구,청파동,2017,2
452,452,4,11170560,590,서울,용산구,원효로1동,2017,2
453,453,4,11170570,508,서울,용산구,원효로2동,2017,2
454,454,4,11170580,539,서울,용산구,효창동,2017,2
455,455,4,11170590,603,서울,용산구,용문동,2017,2
456,456,4,11170625,898,서울,용산구,한강로동,2017,2
457,457,4,11170630,499,서울,용산구,이촌1동,2017,2
458,458,4,11170640,530,서울,용산구,이촌2동,2017,2
459,459,4,11170650,880,서울,용산구,이태원1동,2017,2
460,460,4,11170660,643,서울,용산구,이태원2동,2017,2
461,461,4,11170685,619,서울,용산구,한남동,2017,2
462,462,4,11170690,612,서울,용산구,서빙고동,2017,2
463,463,4,11170700,451,서울,용산구,보광동,2017,2
464,464,5,11170510,491,서울,용산구,후암동,2017,2
465,465,5,11170520,474,서울,용산구,용산2가동,2017,2
466,466,5,11170530,944,서울,용산구,남영동,2017,2
467,467,5,11170555,625,서울,용산구,청파동,2017,2
468,468,5,11170560,594,서울,용산구,원효로1동,2017,2
469,469,5,11170570,506,서울,용산구,원효로2동,2017,2
470,470,5,11170580,546,서울,용산구,효창동,2017,2
471,471,5,11170590,596,서울,용산구,용문동,2017,2
472,472,5,11170625,941,서울,용산구,한강로동,2017,2
473,473,5,11170630,517,서울,용산구,이촌1동,2017,2
474,474,5,11170640,540,서울,용산구,이촌2동,2017,2
475,475,5,11170650,873,서울,용산구,이태원1동,2017,2
476,476,5,11170660,643,서울,용산구,이태원2동,2017,2
477,477,5,11170685,632,서울,용산구,한남동,2017,2
